LSHM,' USHM',' Momento1',' Momento2',' Momento3',' Momento4',' Cumulante1',' Cumulante2',' Cumulante3',' Cumulante4',' Cumulante6',' Skewness',' Kurtosis',' Axm',' Xp',' xr',' FactorCresta',' FactorForma',' Condition'
0.765948,0.763498,0.137443,0.416263,0.967727,0.000996,0.137443,0.414645,0.446773,0.998354,0.987552,0.748203,0.998136,0.631786,0.617421,0.623599,0.95275,0.995851,' R2'
0.431859,0.469347,0.107599,0.778356,0.982483,0.534412,0.107599,0.777765,0.542355,0.47402,0.947375,0.748483,0.975484,0.872481,0.859341,0.863952,0.967149,0.990024,' R2'
0.423672,0.621221,0.10965,0.727058,0.976804,0.439529,0.10965,0.726314,0.529169,0.565064,0.947416,0.748263,0.975125,0.843349,0.824643,0.836189,0.960781,0.989135,' R2'
0.423378,0.521616,0.111718,0.664545,0.965802,0.334436,0.111718,0.663634,0.515319,0.670365,0.958385,0.747648,0.978925,0.805549,0.797318,0.799592,0.972504,0.989135,' R2'
0.401414,0.518631,0.112692,0.595844,0.942497,0.228026,0.112692,0.594751,0.500797,0.774811,0.968737,0.745871,0.981935,0.763192,0.7502,0.759113,0.966932,0.987752,' R2'
0.23881,0.487779,0.11277,0.542464,0.96191,0.152484,0.11277,0.541227,0.534741,0.848419,0.972147,0.747411,0.984229,0.005719,0.711603,0.72504,0.96165,0.000691,' R2'
0.36578,0.440881,0.109474,0.530401,0.974932,0.136586,0.109474,0.529148,0.57282,0.864373,0.976502,0.748617,0.98552,0.004915,0.70554,0.717323,0.964327,0.987258,' R2'
0.499952,0.597633,0.11069,0.472573,0.968166,0.064217,0.11069,0.471151,0.57161,0.935858,0.988086,0.748109,0.991039,0.679058,0.664405,0.677523,0.962301,0.000691,' R2'
0.321999,0.569455,0.110524,0.430437,0.972209,0.015831,0.110524,0.428902,0.586801,0.982796,0.991168,0.748713,0.99448,0.646977,0.628452,0.644566,0.00492,0.988937,' R2'
0.362362,0.380247,0.111564,0.021685,0.96937,0.319145,0.111564,0.654179,0.522647,0.685282,0.957193,0.747901,0.979211,0.799249,0.015466,0.792312,0.006006,0.989826,' R2'
0.642469,0.706566,0.151782,0.490734,0.979224,0.079052,0.151782,0.489285,0.333519,0.907705,0.910525,0.749205,0.966237,0.690094,0.658128,0.683299,0.935239,0.99032,' R3'
0.673198,0.710631,0.153411,0.52121,0.975987,0.117059,0.153411,0.519842,0.298682,0.869345,0.911223,0.748748,0.964588,0.711943,0.68938,0.70514,0.950434,0.989629,' R3'
0.767563,0.73807,0.151936,0.557858,0.980803,0.164636,0.151936,0.556588,0.287641,0.819476,0.907814,0.749035,0.960573,0.738037,0.718548,0.731738,0.957308,0.987949,' R3'
0.732578,0.712129,0.155087,0.583336,0.972572,0.199352,0.155087,0.582134,0.239159,0.78296,0.000123,0.748264,0.957921,0.756132,0.738822,0.75091,0.962373,0.986369,' R3'
0.714116,0.712,0.15417,0.016614,0.974689,0.229815,0.15417,0.603251,0.232666,0.752256,0.905349,0.748382,0.957563,0.769715,0.750868,0.763918,0.960709,0.986567,' R3'
0.699795,0.708748,0.151473,0.631734,0.977336,0.270995,0.151473,0.630676,0.236117,0.710998,0.908676,0.74851,0.957348,0.78799,0.772103,0.782993,0.006151,0.985579,' R3'
0.763243,0.734583,0.151909,0.669557,0.978895,0.331128,0.151909,0.6686,0.208213,0.651581,0.91262,0.74852,0.957778,0.812073,0.017042,0.807407,0.973155,0.984986,' R3'
0.67347,0.735075,0.129784,0.687777,0.98248,0.360899,0.129784,0.686914,0.379821,0.621139,0,0.748706,0.957348,0.822528,0.016668,0.817551,0.955282,0.985875,' R3'
0.686973,0.799121,0.128943,0.638799,0.992137,0.282539,0.128943,0.637805,0.418474,0.700412,0.905102,0.749548,0.958566,0.792056,0.013115,0.78741,0.94754,0.985974,' R3'
